elapsed_s,timestamp,gateway_id,cpu_pct,cpu_user,cpu_sys,cpu_iowait,mem_total_mb,mem_used_mb,mem_free_mb,mem_used_pct,load_1,load_5,load_15,net_rx_bytes,net_tx_bytes,net_rx_delta,net_tx_delta,cs_cpu_pct,cs_mem_mb,pf_cpu_pct,pf_mem_mb,rx_total,tx_total,rx_delta,tx_delta,rx_crc_ok,rx_crc_error,rx_crc_none,crc_error_rate_pct,rx_dr0,rx_dr1,rx_dr2,rx_dr3,rx_dr4,rx_dr5
0.0,2026-05-17T18:11:57,0016c001f10c2ef6,,,,,7809,701,7108,9.0,0.32,0.4,0.42,411651109,2197226912,,,1.2,234.2,3.1,2.0,49,36,,,0,0,0,0.0,0,0,0,0,0,0
0.5,2026-05-17T18:11:58,0016c001f10c2ef6,13.5,3.2,10.3,0.0,7809,701,7108,9.0,0.32,0.4,0.42,411654143,2197238718,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
0.9,2026-05-17T18:11:58,0016c001f10c2ef6,18.9,1.7,17.2,0.0,7809,702,7107,9.0,0.38,0.41,0.42,411658210,2197281039,4067,42321,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
1.4,2026-05-17T18:11:59,0016c001f10c2ef6,22.8,3.9,17.2,1.7,7809,700,7109,9.0,0.38,0.41,0.42,411661290,2197292911,3080,11872,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
1.8,2026-05-17T18:11:59,0016c001f10c2ef6,17.3,2.4,14.9,0.0,7809,701,7108,9.0,0.38,0.41,0.42,411664324,2197304717,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
2.2,2026-05-17T18:12:00,0016c001f10c2ef6,6.4,2.3,4.1,0.0,7809,702,7107,9.0,0.38,0.41,0.42,411667410,2197316523,3086,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
2.7,2026-05-17T18:12:00,0016c001f10c2ef6,6.2,1.1,5.1,0.0,7809,703,7106,9.0,0.38,0.41,0.42,411670444,2197328329,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
3.1,2026-05-17T18:12:00,0016c001f10c2ef6,6.4,2.3,4.0,0.0,7809,702,7107,9.0,0.38,0.41,0.42,411674511,2197370650,4067,42321,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
3.5,2026-05-17T18:12:01,0016c001f10c2ef6,7.4,2.8,4.5,0.0,7809,702,7107,9.0,0.38,0.41,0.42,411677545,2197382456,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
3.9,2026-05-17T18:12:01,0016c001f10c2ef6,5.7,2.3,3.4,0.0,7809,702,7107,9.0,0.38,0.41,0.42,411680579,2197394262,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
4.4,2026-05-17T18:12:02,0016c001f10c2ef6,5.7,2.3,3.4,0.0,7809,702,7107,9.0,0.38,0.41,0.42,411683613,2197406068,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
4.8,2026-05-17T18:12:02,0016c001f10c2ef6,8.5,3.7,4.8,0.0,7809,702,7107,9.0,0.38,0.41,0.42,411686903,2197417940,3290,11872,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
5.3,2026-05-17T18:12:03,0016c001f10c2ef6,8.2,2.6,5.7,0.0,7809,703,7106,9.0,0.38,0.41,0.42,411691074,2197460327,4171,42387,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
5.8,2026-05-17T18:12:03,0016c001f10c2ef6,10.8,3.9,6.9,0.0,7809,702,7107,9.0,0.43,0.42,0.43,411694388,2197472277,3314,11950,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
6.3,2026-05-17T18:12:04,0016c001f10c2ef6,8.9,3.0,5.9,0.0,7809,702,7107,9.0,0.43,0.42,0.43,411697630,2197484215,3242,11938,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
6.8,2026-05-17T18:12:04,0016c001f10c2ef6,9.1,3.5,5.6,0.0,7809,702,7107,9.0,0.43,0.42,0.43,411700616,2197496087,2986,11872,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
7.3,2026-05-17T18:12:05,0016c001f10c2ef6,6.4,2.3,4.0,0.0,7809,702,7107,9.0,0.43,0.42,0.43,411704631,2197538408,4015,42321,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
7.7,2026-05-17T18:12:05,0016c001f10c2ef6,7.4,2.9,4.6,0.0,7809,702,7107,9.0,0.43,0.42,0.43,411707717,2197550214,3086,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
8.1,2026-05-17T18:12:05,0016c001f10c2ef6,6.2,2.2,3.9,0.0,7809,702,7107,9.0,0.43,0.42,0.43,411711180,2197562020,3463,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
8.5,2026-05-17T18:12:06,0016c001f10c2ef6,6.3,1.7,4.6,0.0,7809,703,7106,9.0,0.43,0.42,0.43,411714214,2197573826,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
9.0,2026-05-17T18:12:06,0016c001f10c2ef6,5.9,1.8,4.1,0.0,7809,703,7106,9.0,0.43,0.42,0.43,411717248,2197585632,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
9.4,2026-05-17T18:12:07,0016c001f10c2ef6,8.2,2.9,5.3,0.0,7809,703,7106,9.0,0.43,0.42,0.43,411721315,2197627953,4067,42321,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
9.8,2026-05-17T18:12:07,0016c001f10c2ef6,6.3,2.3,4.0,0.0,7809,702,7107,9.0,0.43,0.42,0.43,411724349,2197639759,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
10.2,2026-05-17T18:12:08,0016c001f10c2ef6,4.6,1.2,3.5,0.0,7809,702,7107,9.0,0.43,0.42,0.43,411727383,2197651565,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
10.7,2026-05-17T18:12:08,0016c001f10c2ef6,6.9,2.3,4.6,0.0,7809,702,7107,9.0,0.39,0.41,0.42,411730469,2197663371,3086,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
11.1,2026-05-17T18:12:08,0016c001f10c2ef6,6.3,2.3,4.0,0.0,7809,702,7107,9.0,0.39,0.41,0.42,411734536,2197705692,4067,42321,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
11.5,2026-05-17T18:12:09,0016c001f10c2ef6,6.2,3.4,2.8,0.0,7809,702,7107,9.0,0.39,0.41,0.42,411737774,2197717498,3238,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
12.0,2026-05-17T18:12:09,0016c001f10c2ef6,17.8,3.3,14.4,0.0,7809,702,7107,9.0,0.39,0.41,0.42,411740760,2197729304,2986,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
12.4,2026-05-17T18:12:10,0016c001f10c2ef6,19.5,2.9,16.7,0.0,7809,702,7107,9.0,0.39,0.41,0.42,411743794,2197741110,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
12.8,2026-05-17T18:12:10,0016c001f10c2ef6,19.1,2.9,16.2,0.0,7809,703,7106,9.0,0.39,0.41,0.42,411746956,2197753072,3162,11962,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
13.3,2026-05-17T18:12:11,0016c001f10c2ef6,16.7,3.0,13.7,0.0,7809,703,7106,9.0,0.39,0.41,0.42,411751023,2197795393,4067,42321,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
13.7,2026-05-17T18:12:11,0016c001f10c2ef6,5.8,2.3,3.5,0.0,7809,703,7106,9.0,0.39,0.41,0.42,411754129,2197807277,3106,11884,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
14.1,2026-05-17T18:12:11,0016c001f10c2ef6,6.4,2.9,3.5,0.0,7809,703,7106,9.0,0.39,0.41,0.42,411757163,2197819083,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
14.5,2026-05-17T18:12:12,0016c001f10c2ef6,6.9,1.7,5.2,0.0,7809,702,7107,9.0,0.39,0.41,0.42,411760197,2197830889,3034,11806,1.2,234.4,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
15.0,2026-05-17T18:12:12,0016c001f10c2ef6,9.8,4.0,5.2,0.6,7809,702,7107,9.0,0.39,0.41,0.42,411763381,2197844956,3184,14067,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
15.4,2026-05-17T18:12:13,0016c001f10c2ef6,8.5,4.0,4.5,0.0,7809,701,7108,9.0,0.36,0.4,0.42,411767396,2197887277,4015,42321,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
15.8,2026-05-17T18:12:13,0016c001f10c2ef6,6.9,2.3,4.6,0.0,7809,703,7106,9.0,0.36,0.4,0.42,411770482,2197899083,3086,11806,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
16.3,2026-05-17T18:12:14,0016c001f10c2ef6,6.3,2.9,3.4,0.0,7809,704,7105,9.0,0.36,0.4,0.42,411773620,2197910889,3138,11806,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
16.7,2026-05-17T18:12:14,0016c001f10c2ef6,5.6,1.7,3.9,0.0,7809,703,7106,9.0,0.36,0.4,0.42,411776858,2197922695,3238,11806,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
17.2,2026-05-17T18:12:15,0016c001f10c2ef6,15.2,3.9,5.9,5.4,7809,703,7106,9.0,0.36,0.4,0.42,411780721,2197965082,3863,42387,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
17.6,2026-05-17T18:12:15,0016c001f10c2ef6,6.9,4.0,2.9,0.0,7809,703,7106,9.0,0.36,0.4,0.42,411783911,2197976888,3190,11806,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
18.1,2026-05-17T18:12:15,0016c001f10c2ef6,5.6,2.2,3.3,0.0,7809,703,7106,9.0,0.36,0.4,0.42,411787426,2197988694,3515,11806,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
18.5,2026-05-17T18:12:16,0016c001f10c2ef6,6.9,2.3,4.6,0.0,7809,703,7106,9.0,0.36,0.4,0.42,411790512,2198000500,3086,11806,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
18.9,2026-05-17T18:12:16,0016c001f10c2ef6,6.2,2.2,3.9,0.0,7809,703,7106,9.0,0.36,0.4,0.42,411793546,2198012306,3034,11806,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
19.3,2026-05-17T18:12:17,0016c001f10c2ef6,7.6,2.3,5.3,0.0,7809,703,7106,9.0,0.36,0.4,0.42,411797561,2198054627,4015,42321,1.2,234.2,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
19.8,2026-05-17T18:12:17,0016c001f10c2ef6,5.7,2.9,2.9,0.0,7809,703,7106,9.0,0.36,0.4,0.42,411800595,2198066433,3034,11806,1.2,234.2,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
20.2,2026-05-17T18:12:18,0016c001f10c2ef6,7.4,4.0,3.4,0.0,7809,702,7107,9.0,0.33,0.4,0.42,411803629,2198078239,3034,11806,1.2,234.2,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
20.6,2026-05-17T18:12:18,0016c001f10c2ef6,6.1,2.2,3.9,0.0,7809,701,7108,9.0,0.33,0.4,0.42,411806663,2198090045,3034,11806,1.2,234.2,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
21.1,2026-05-17T18:12:18,0016c001f10c2ef6,5.7,2.3,3.4,0.0,7809,701,7108,9.0,0.33,0.4,0.42,411809749,2198101851,3086,11806,1.2,234.2,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
21.5,2026-05-17T18:12:19,0016c001f10c2ef6,7.4,2.3,5.1,0.0,7809,702,7107,9.0,0.33,0.4,0.42,411813784,2198144250,4035,42399,1.2,234.2,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
21.9,2026-05-17T18:12:19,0016c001f10c2ef6,7.3,3.9,3.4,0.0,7809,701,7108,9.0,0.33,0.4,0.42,411816918,2198156056,3134,11806,1.2,234.2,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
22.4,2026-05-17T18:12:20,0016c001f10c2ef6,9.5,3.0,6.0,0.5,7809,701,7108,9.0,0.33,0.4,0.42,411819956,2198167928,3038,11872,1.2,234.2,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
22.9,2026-05-17T18:12:20,0016c001f10c2ef6,6.3,1.1,5.1,0.0,7809,701,7108,9.0,0.33,0.4,0.42,411823042,2198179734,3086,11806,1.2,234.2,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
23.3,2026-05-17T18:12:21,0016c001f10c2ef6,12.4,2.8,9.6,0.0,7809,702,7107,9.0,0.33,0.4,0.42,411826953,2198222055,3911,42321,1.2,234.3,3.1,2.0,49,36,0,0,0,0,0,0.0,0,0,0,0,0,0
